      Time   Sample #  Type  Sub Chan  Num	Aux
   10:01.328   150332     (    0    0    0
   10:01.400   150350     p    0    0    0
   10:01.464   150366     )    0    0    0
   10:01.540   150385     (    0    0    1
   10:01.596   150399     N    0    0    1
   10:01.636   150409     )    0    0    1
   10:01.760   150440     (    0    0    2
   10:01.892   150473     t    0    0    0
   10:01.968   150492     )    0    0    2
   10:02.264   150566     (    0    0    0
   10:02.324   150581     p    0    0    0
   10:02.388   150597     )    0    0    0
   10:02.456   150614     (    0    0    1
   10:02.516   150629     N    0    0    1
   10:02.568   150642     )    0    0    1
   10:02.696   150674     (    0    0    2
   10:02.812   150703     t    0    0    0
   10:02.912   150728     )    0    0    2
   10:03.172   150793     (    0    0    0
   10:03.244   150811     p    0    0    0
   10:03.300   150825     )    0    0    0
   10:03.368   150842     (    0    0    1
   10:03.436   150859     N    0    0    1
   10:03.492   150873     )    0    0    1
   10:03.612   150903     (    0    0    2
   10:03.736   150934     t    0    0    0
   10:03.820   150955     )    0    0    2
   10:04.096   151024     (    0    0    0
   10:04.168   151042     p    0    0    0
   10:04.224   151056     )    0    0    0
   10:04.292   151073     (    0    0    1
   10:04.352   151088     N    0    0    1
   10:04.396   151099     )    0    0    1
   10:04.540   151135     (    0    0    2
   10:04.648   151162     t    0    0    0
   10:04.760   151190     )    0    0    2
   10:05.032   151258     (    0    0    0
   10:05.100   151275     p    0    0    0
   10:05.156   151289     )    0    0    0
   10:05.224   151306     (    0    0    1
   10:05.288   151322     N    0    0    1
   10:05.340   151335     )    0    0    1
   10:05.472   151368     (    0    0    2
   10:05.592   151398     t    0    0    0
   10:05.692   151423     )    0    0    2
   10:06.000   151500     (    0    0    0
   10:06.048   151512     p    0    0    0
   10:06.132   151533     )    0    0    0
   10:06.184   151546     (    0    0    1
   10:06.240   151560     N    0    0    1
   10:06.284   151571     )    0    0    1
   10:06.452   151613     (    0    0    2
   10:06.536   151634     t    0    0    0
   10:06.632   151658     )    0    0    2
   10:06.928   151732     (    0    0    0
   10:06.988   151747     p    0    0    0
   10:07.044   151761     )    0    0    0
   10:07.112   151778     (    0    0    1
   10:07.180   151795     N    0    0    1
   10:07.224   151806     )    0    0    1
   10:07.376   151844     (    0    0    2
   10:07.472   151868     t    0    0    0
   10:07.580   151895     )    0    0    2
   10:07.872   151968     (    0    0    0
   10:07.932   151983     p    0    0    0
   10:08.000   152000     )    0    0    0
   10:08.060   152015     (    0    0    1
   10:08.124   152031     N    0    0    1
   10:08.172   152043     )    0    0    1
   10:08.312   152078     (    0    0    2
   10:08.428   152107     t    0    0    0
   10:08.516   152129     )    0    0    2
   10:08.800   152200     (    0    0    0
   10:08.872   152218     p    0    0    0
   10:08.944   152236     )    0    0    0
   10:09.008   152252     (    0    0    1
   10:09.068   152267     N    0    0    1
   10:09.120   152280     )    0    0    1
   10:09.260   152315     (    0    0    2
   10:09.368   152342     t    0    0    0
   10:09.464   152366     )    0    0    2
   10:09.724   152431     (    0    0    0
   10:09.784   152446     p    0    0    0
   10:09.852   152463     )    0    0    0
   10:09.916   152479     (    0    0    1
   10:09.976   152494     N    0    0    1
   10:10.040   152510     )    0    0    1
   10:10.148   152537     (    0    0    2
   10:10.276   152569     t    0    0    0
   10:10.368   152592     )    0    0    2
   10:10.644   152661     (    0    0    0
   10:10.712   152678     p    0    0    0
   10:10.772   152693     )    0    0    0
   10:10.836   152709     (    0    0    1
   10:10.892   152723     N    0    0    1
   10:10.952   152738     )    0    0    1
   10:11.084   152771     (    0    0    2
   10:11.188   152797     t    0    0    0
   10:11.284   152821     )    0    0    2
   10:11.532   152883     (    0    0    0
   10:11.600   152900     p    0    0    0
   10:11.676   152919     )    0    0    0
   10:11.732   152933     (    0    0    1
   10:11.796   152949     N    0    0    1
   10:11.848   152962     )    0    0    1
