      Time   Sample #  Type  Sub Chan  Num	Aux
   10:01.596   150399     N    0    0    1
   10:02.516   150629     N    0    0    1
   10:03.436   150859     N    0    0    1
   10:04.352   151088     N    0    0    1
   10:05.288   151322     N    0    0    1
   10:06.240   151560     N    0    0    1
   10:07.180   151795     N    0    0    1
   10:08.124   152031     N    0    0    1
   10:09.068   152267     N    0    0    1
   10:09.976   152494     N    0    0    1
   10:10.892   152723     N    0    0    1
   10:11.796   152949     N    0    0    1
   10:12.708   153177     N    0    0    1
   10:13.664   153416     N    0    0    1
   10:14.612   153653     N    0    0    1
   10:15.540   153885     N    0    0    1
   10:16.484   154121     N    0    0    1
   10:17.440   154360     N    0    0    1
   10:18.368   154592     N    0    0    1
   10:19.320   154830     N    0    0    1
   10:20.280   155070     N    0    0    1
   10:21.180   155295     N    0    0    1
   10:22.112   155528     N    0    0    1
   10:23.028   155757     N    0    0    1
   10:23.940   155985     N    0    0    1
   10:24.876   156219     N    0    0    1
   10:25.808   156452     N    0    0    1
   10:26.724   156681     N    0    0    1
   10:27.644   156911     N    0    0    1
   10:28.564   157141     N    0    0    1
